GHG reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24
China (Mainland),7.615396e-06,2.276287e-06,5.885975e-06,6.663817e-06,1.790314e-05,6.444082e-06,2.590596e-05,2.790755e-06,8.398148e-06,1.765151e-03,7.615072e-06,8.522043e-06,7.789215e-06,1.010569e-05,5.992953e-06,6.910454e-06,6.367910e-06,6.539435e-06,2.556957e-05,2.810734e-06,8.356210e-06,1.727202e-03,7.723910e-06,8.890269e-06
South Korea,3.409603e-01,2.895476e-01,2.738773e-01,2.216164e-01,2.489676e-01,1.682853e-01,8.646644e-02,8.644583e-02,8.817023e-02,1.850567e-01,2.863715e-01,2.249663e-01,5.160862e-01,4.455586e-01,4.177807e-01,3.454494e-01,3.786123e-01,2.667838e-01,1.557161e-01,1.547555e-01,1.555805e-01,2.896571e-01,4.445348e-01,3.447861e-01
Japan,1.600694e+00,1.424999e+00,1.609202e+00,1.351627e+00,1.604556e+00,1.360146e+00,1.643073e+00,1.325227e+00,1.133613e+00,1.135282e+00,2.006493e+00,1.539030e+00,1.601801e+00,1.426208e+00,1.609751e+00,1.352201e+00,1.604513e+00,1.360163e+00,1.643129e+00,1.325260e+00,1.133617e+00,1.135311e+00,2.007655e+00,1.539113e+00
Singapore,5.314324e+00,4.752318e+00,4.714728e+00,4.094184e+00,4.295270e+00,3.574576e+00,3.438740e+00,3.179731e+00,2.923993e+00,4.377303e+00,5.807876e+00,5.404521e+00,5.367279e+00,4.803141e+00,4.761506e+00,4.136040e+00,4.332733e+00,3.607345e+00,3.470534e+00,3.209681e+00,2.952062e+00,4.406581e+00,5.864698e+00,5.441596e+00
Hong Kong,8.048289e-01,5.483354e-01,8.540592e-01,4.977425e-01,8.548453e-01,4.918015e-01,2.558506e-01,2.502504e-01,2.496041e-01,4.366592e-01,8.060138e-01,7.410092e-01,8.051417e-01,5.496607e-01,8.542900e-01,4.978515e-01,8.542529e-01,4.919965e-01,2.558992e-01,2.503048e-01,2.496128e-01,4.365447e-01,8.062857e-01,7.412958e-01
Taiwan,7.709442e-01,6.993838e-01,7.528328e-01,6.250516e-01,7.043742e-01,6.070044e-01,5.300228e-01,5.243162e-01,5.190874e-01,8.102430e-01,7.814925e-01,8.718701e-01,7.962750e-01,7.253399e-01,7.637501e-01,6.368461e-01,7.013161e-01,6.043838e-01,5.277144e-01,5.217832e-01,5.163265e-01,8.084750e-01,8.072864e-01,8.724518e-01
Rest of East Asia,1.647695e-01,1.385258e-01,8.842311e-02,1.118990e-01,9.142614e-02,4.278506e-02,9.743987e-02,1.847800e-02,4.459997e-02,7.305381e-02,1.229634e-01,5.685493e-02,7.487910e-02,8.456472e-02,4.265490e-02,5.435607e-02,3.165011e-02,2.826720e-02,8.945829e-02,1.311324e-02,3.716796e-02,5.855375e-02,5.730573e-02,4.009607e-02
Thailand,1.970434e+00,1.600981e+00,1.983442e+00,1.512853e+00,1.969800e+00,1.525949e+00,1.643452e+00,1.358042e+00,1.096559e+00,1.096866e+00,2.401023e+00,1.742715e+00,1.970545e+00,1.601620e+00,1.983524e+00,1.512930e+00,1.969152e+00,1.526006e+00,1.643495e+00,1.358095e+00,1.097468e+00,1.096901e+00,2.401291e+00,1.742893e+00
Indonesia,4.376345e+00,3.756943e+00,3.643918e+00,2.997594e+00,3.137182e+00,2.364950e+00,2.208077e+00,1.895334e+00,1.614989e+00,1.624668e+00,4.831738e+00,2.662200e+00,4.381196e+00,3.761635e+00,3.646732e+00,2.999995e+00,3.136562e+00,2.364460e+00,2.207482e+00,1.894837e+00,1.614477e+00,1.624159e+00,4.836715e+00,2.661821e+00
Malaysia,5.355138e+00,4.708753e+00,4.762563e+00,4.074325e+00,4.453835e+00,3.622425e+00,3.153063e+00,2.947067e+00,2.834244e+00,3.034413e+00,5.341457e+00,3.889429e+00,5.379861e+00,4.732392e+00,4.779821e+00,4.089461e+00,4.458294e+00,3.626887e+00,3.157888e+00,2.951426e+00,2.838109e+00,3.038310e+00,5.367278e+00,3.894646e+00
Rest of South East Asia,5.091817e+00,4.434207e+00,3.509003e+00,2.842969e+00,2.211017e+00,1.378509e+00,6.818937e-01,6.113120e-01,5.683241e-01,6.315743e-01,5.085428e+00,1.517653e+00,4.648916e+00,4.048417e+00,3.205577e+00,2.597487e+00,2.028802e+00,1.265808e+00,5.998207e-01,5.496835e-01,5.238816e-01,5.845555e-01,4.643487e+00,1.395281e+00
India,2.047777e+00,2.018069e+00,1.570972e+00,1.501741e+00,1.220115e+00,1.088464e+00,2.617591e+00,1.778747e+00,9.683436e-01,1.038376e+00,3.671829e+00,2.047355e+00,2.054058e+00,2.036249e+00,1.575411e+00,1.506099e+00,1.212065e+00,1.089716e+00,2.618070e+00,1.779870e+00,9.694928e-01,1.039452e+00,3.678349e+00,2.049072e+00
Rest of South Asia,6.048138e+00,5.127660e+00,4.195668e+00,3.287501e+00,2.510063e+00,1.511801e+00,7.891459e-01,6.434357e-01,5.326769e-01,5.944047e-01,6.158971e+00,1.673952e+00,6.270383e+00,5.340252e+00,4.326025e+00,3.407066e+00,2.531338e+00,1.538627e+00,8.155484e-01,6.639934e-01,5.469380e-01,6.078260e-01,6.389361e+00,1.706579e+00
Australia,1.711267e+00,1.456496e+00,1.695710e+00,1.334017e+00,1.692326e+00,1.340074e+00,1.618839e+00,1.314302e+00,1.013560e+00,1.166507e+00,2.305984e+00,1.827810e+00,1.728567e+00,1.473446e+00,1.699543e+00,1.344600e+00,1.695875e+00,1.343284e+00,1.621840e+00,1.317254e+00,1.016439e+00,1.169628e+00,2.323511e+00,1.831233e+00
Rest of Oceania,1.592223e+00,1.407641e+00,1.551576e+00,1.245103e+00,1.565196e+00,1.219874e+00,9.337120e-01,9.171511e-01,9.200481e-01,1.175965e+00,1.592069e+00,1.544454e+00,7.494109e-01,7.990675e-01,6.606036e-01,6.109481e-01,6.458526e-01,5.513346e-01,4.914584e-01,4.743358e-01,4.762231e-01,6.169327e-01,7.524195e-01,7.011005e-01
Russia,6.492604e-03,1.181614e-03,4.043641e-03,4.246050e-03,1.580602e-02,4.234057e-03,1.853200e-02,1.143602e-03,5.163223e-03,1.057442e-02,7.734321e-03,8.556590e-03,8.196024e-03,8.457336e-03,4.298519e-03,4.653497e-03,4.344941e-03,4.463636e-03,1.841122e-02,1.255522e-03,5.210803e-03,1.021479e-02,8.294936e-03,8.718406e-03
Rest of FSU,4.393905e-01,3.355453e-01,3.593346e-01,2.585477e-01,3.289525e-01,2.145960e-01,8.463797e-01,4.523484e-01,1.046555e-01,1.184457e-01,1.138162e+00,5.693511e-01,7.024892e-01,5.961280e-01,5.263135e-01,4.231159e-01,4.024413e-01,2.787177e-01,7.327285e-01,4.263125e-01,1.595526e-01,1.637660e-01,1.200663e+00,5.410213e-01
Iran,3.005697e-04,2.688402e-04,2.524803e-04,4.108685e-04,5.052360e-04,4.098335e-04,7.647474e-04,2.243363e-04,2.673644e-04,5.906412e-04,3.076263e-04,6.096548e-04,3.070179e-04,6.692708e-04,2.529444e-04,4.175659e-04,2.656559e-04,4.097789e-04,7.640137e-04,2.249096e-04,2.696799e-04,6.000662e-04,3.085276e-04,5.925811e-04
UAE,8.387579e+00,7.700000e+00,7.500000e+00,6.862767e+00,7.200000e+00,6.200000e+00,5.500000e+00,5.300000e+00,5.300000e+00,5.787517e+00,8.352287e+00,6.887375e+00,8.467904e+00,7.786899e+00,7.584501e+00,6.900000e+00,7.200000e+00,6.200000e+00,5.550012e+00,5.300000e+00,5.300000e+00,5.797459e+00,8.435526e+00,6.898690e+00
Middle East,6.633930e+00,5.610437e+00,5.896393e+00,4.848538e+00,5.491960e+00,4.300446e+00,4.485222e+00,3.726271e+00,3.149429e+00,3.448661e+00,7.679384e+00,5.117020e+00,4.822648e+00,3.946598e+00,4.437019e+00,3.513887e+00,4.319939e+00,3.299466e+00,3.199821e+00,2.684640e+00,2.313762e+00,2.633786e+00,5.485895e+00,3.923391e+00
Rest of OPEC,5.450305e+00,4.811507e+00,4.674920e+00,4.036426e+00,4.102384e+00,3.352474e+00,2.625159e+00,2.590575e+00,2.640212e+00,3.025114e+00,5.338426e+00,3.720995e+00,3.793947e+00,3.252515e+00,3.181930e+00,2.637662e+00,2.743181e+00,2.106355e+00,1.494892e+00,1.458421e+00,1.501760e+00,1.822090e+00,3.776038e+00,2.400271e+00
Nigeria,4.112144e+00,3.511055e+00,3.240008e+00,2.653271e+00,2.544549e+00,1.882526e+00,1.174390e+00,1.192734e+00,1.228729e+00,1.287869e+00,4.030071e+00,1.937482e+00,4.131626e+00,3.532555e+00,3.258630e+00,2.671136e+00,2.556097e+00,1.897632e+00,1.192871e+00,1.209460e+00,1.243418e+00,1.302504e+00,4.053730e+00,1.954652e+00
South Africa,3.115577e+00,2.641594e+00,2.526102e+00,2.043249e+00,2.054820e+00,1.519363e+00,3.227349e+00,2.082549e+00,1.004362e+00,1.241948e+00,5.260647e+00,2.820561e+00,3.120706e+00,2.647104e+00,2.530195e+00,2.046674e+00,2.054493e+00,1.519670e+00,3.228755e+00,2.083689e+00,1.004656e+00,1.241964e+00,5.269267e+00,2.822557e+00
Rest of Africa,9.441840e-01,7.986011e-01,6.504316e-01,5.106634e-01,5.028921e-01,2.987540e-01,9.798627e-02,9.745156e-02,9.987439e-02,1.310565e-01,9.424627e-01,3.341672e-01,8.717582e-01,7.343107e-01,6.068121e-01,4.726248e-01,4.765672e-01,2.827192e-01,9.464228e-02,9.210623e-02,9.423730e-02,1.245524e-01,8.701324e-01,3.166096e-01
Italy,3.120806e+00,2.727593e+00,2.572844e+00,2.128237e+00,2.252947e+00,1.656710e+00,2.401096e+00,1.749304e+00,1.100534e+00,1.135714e+00,4.398041e+00,2.492157e+00,3.124641e+00,2.730266e+00,2.579374e+00,2.132624e+00,2.257020e+00,1.660540e+00,2.405698e+00,1.753346e+00,1.103960e+00,1.135363e+00,4.403298e+00,2.496213e+00
France,2.212057e+00,1.769881e+00,2.215720e+00,1.683127e+00,2.219308e+00,1.686803e+00,1.774375e+00,1.481785e+00,1.190297e+00,1.213309e+00,2.794142e+00,2.082919e+00,2.213700e+00,1.771600e+00,2.217784e+00,1.684982e+00,2.221647e+00,1.689082e+00,1.777129e+00,1.484225e+00,1.192371e+00,1.214224e+00,2.796298e+00,2.085540e+00
Germany,8.791957e-01,7.173757e-01,9.139207e-01,6.567860e-01,9.060149e-01,6.915234e-01,1.925693e+00,1.188208e+00,4.978183e-01,6.464273e-01,2.311759e+00,1.534272e+00,8.777322e-01,7.158817e-01,9.141088e-01,6.567171e-01,9.077030e-01,6.931050e-01,1.930869e+00,1.191544e+00,4.991965e-01,6.437907e-01,2.313809e+00,1.537687e+00
Spain,4.266969e+00,3.675079e+00,3.515191e+00,2.891366e+00,3.017414e+00,2.265671e+00,2.744248e+00,2.137680e+00,1.532093e+00,1.544656e+00,5.464405e+00,2.981390e+00,4.270228e+00,3.676599e+00,3.521225e+00,2.894555e+00,3.018976e+00,2.267197e+00,2.746459e+00,2.139436e+00,1.533351e+00,1.544722e+00,5.469006e+00,2.982981e+00
UK,5.176751e+00,4.023328e+00,4.637136e+00,3.343615e+00,4.375228e+00,2.916747e+00,3.671870e+00,2.523533e+00,1.512131e+00,1.612719e+00,7.236649e+00,4.252723e+00,5.182369e+00,4.027959e+00,4.644314e+00,3.349217e+00,4.379458e+00,2.920940e+00,3.676366e+00,2.527851e+00,1.516222e+00,1.616460e+00,7.242824e+00,4.257025e+00
Scandinavia,8.848005e-01,8.482808e-01,8.787874e-01,8.168767e-01,8.739122e-01,8.094757e-01,1.709214e+00,1.220112e+00,7.552883e-01,1.206325e+00,1.839127e+00,1.674970e+00,9.498555e-01,8.887800e-01,9.659206e-01,8.631216e-01,9.626144e-01,8.677850e-01,1.750097e+00,1.259425e+00,7.927946e-01,1.237326e+00,1.904194e+00,1.735641e+00
Rest of EU,2.243406e+00,1.862979e+00,2.256253e+00,1.753048e+00,2.256186e+00,1.765891e+00,2.727759e+00,2.018437e+00,1.329771e+00,1.439693e+00,3.585594e+00,2.618340e+00,1.991533e+00,1.658392e+00,1.998475e+00,1.564172e+00,2.000242e+00,1.571110e+00,2.422965e+00,1.798530e+00,1.193011e+00,1.290474e+00,3.169910e+00,2.317172e+00
Rest of Europe,1.304744e+00,9.956170e-01,1.264770e+00,8.603478e-01,1.184234e+00,8.160520e-01,9.968496e-01,7.271071e-01,4.669095e-01,5.148829e-01,1.809758e+00,1.131019e+00,6.566563e-01,5.001861e-01,6.464829e-01,4.401110e-01,6.298869e-01,4.386403e-01,4.971416e-01,3.741255e-01,2.589833e-01,3.107122e-01,8.763051e-01,5.874876e-01
USA,2.727376e+00,2.515798e+00,2.612505e+00,2.388755e+00,2.569385e+00,2.315587e+00,4.082132e+00,3.079401e+00,2.092683e+00,2.111625e+00,4.657065e+00,3.325519e+00,2.723698e+00,2.512305e+00,2.610218e+00,2.386464e+00,2.567905e+00,2.314162e+00,4.080971e+00,3.078190e+00,2.091339e+00,2.110016e+00,4.653704e+00,3.323994e+00
Canada,3.644772e+00,3.079602e+00,3.456875e+00,2.765370e+00,3.468140e+00,2.692151e+00,3.001825e+00,2.470608e+00,1.970474e+00,2.273152e+00,4.553506e+00,3.562097e+00,3.646358e+00,3.081478e+00,3.456903e+00,2.766147e+00,3.468005e+00,2.692206e+00,3.001866e+00,2.470652e+00,1.970516e+00,2.273325e+00,4.555124e+00,3.562147e+00
Mexico,4.029463e+00,3.577219e+00,3.397303e+00,2.906706e+00,2.889262e+00,2.328805e+00,2.508500e+00,2.142314e+00,1.777004e+00,1.927242e+00,4.756871e+00,2.917016e+00,4.024489e+00,3.572806e+00,3.394690e+00,2.904182e+00,2.888892e+00,2.328785e+00,2.508443e+00,2.142280e+00,1.776999e+00,1.926962e+00,4.751691e+00,2.916482e+00
Rest of Central America,4.490795e+00,3.651807e+00,3.570382e+00,2.736420e+00,2.989114e+00,1.994276e+00,1.599636e+00,1.288947e+00,1.018130e+00,1.248450e+00,4.851031e+00,2.467726e+00,4.943764e+00,4.045056e+00,3.890034e+00,3.000695e+00,3.197923e+00,2.133405e+00,1.743166e+00,1.394600e+00,1.087808e+00,1.319005e+00,5.357045e+00,2.643659e+00
Brazil,2.928325e+00,2.194521e+00,2.858010e+00,2.081101e+00,2.868926e+00,2.056834e+00,1.358629e+00,1.295898e+00,1.250923e+00,1.406458e+00,3.017113e+00,2.275030e+00,2.938836e+00,2.203055e+00,2.861068e+00,2.085777e+00,2.867068e+00,2.055115e+00,1.356918e+00,1.294241e+00,1.249325e+00,1.404742e+00,3.027509e+00,2.273097e+00
Rest of South America,7.406366e+00,6.637521e+00,5.369243e+00,4.597373e+00,3.702830e+00,2.711426e+00,2.058564e+00,1.895530e+00,1.748183e+00,2.376741e+00,7.639857e+00,3.518868e+00,8.500000e+00,7.647660e+00,6.139898e+00,5.263319e+00,4.166056e+00,3.042832e+00,2.327265e+00,2.130794e+00,1.951081e+00,2.628955e+00,8.800000e+00,3.941013e+00
