 NOx reduction( Mt ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24
China (Mainland),2.306005e-06,6.583869e-07,1.748401e-06,1.969362e-06,1.918828e-06,1.239982e-06,6.991269e-06,7.945794e-07,2.354607e-06,4.598888e-04,2.295287e-06,2.519965e-06,2.344685e-06,3.030819e-06,1.784217e-06,2.046182e-06,2.097993e-06,1.249396e-06,6.893706e-06,8.000328e-07,2.340273e-06,4.508178e-04,2.323051e-06,2.625867e-06
South Korea,7.472018e-03,7.146407e-03,6.375181e-03,6.061639e-03,5.179738e-03,5.180820e-03,4.261637e-03,4.257658e-03,4.271909e-03,6.375933e-03,6.800459e-03,6.611448e-03,1.070908e-02,1.026102e-02,9.133615e-03,8.694410e-03,7.442192e-03,7.443114e-03,6.179117e-03,6.166753e-03,6.172798e-03,9.079437e-03,9.821124e-03,9.386146e-03
Japan,9.112398e-02,8.766078e-02,9.129121e-02,8.585044e-02,8.767786e-02,8.767859e-02,9.207069e-02,8.534775e-02,8.130799e-02,8.140485e-02,9.969076e-02,9.005263e-02,9.113828e-02,8.767677e-02,9.129839e-02,8.585789e-02,8.767843e-02,8.767909e-02,9.207147e-02,8.534825e-02,8.130811e-02,8.140518e-02,9.970575e-02,9.005379e-02
Singapore,1.688269e-02,1.588575e-02,1.571560e-02,1.450842e-02,1.394245e-02,1.394435e-02,1.466948e-02,1.343914e-02,1.222906e-02,1.626543e-02,1.923564e-02,1.913730e-02,1.696442e-02,1.596346e-02,1.578734e-02,1.457255e-02,1.399325e-02,1.399511e-02,1.471672e-02,1.348370e-02,1.227083e-02,1.630917e-02,1.932324e-02,1.919294e-02
Hong Kong,4.189416e-03,3.283305e-03,4.314222e-03,3.235747e-03,3.407926e-03,3.409420e-03,2.470627e-03,2.449116e-03,2.445358e-03,3.023684e-03,4.193542e-03,3.834924e-03,4.190583e-03,3.287966e-03,4.315173e-03,3.236185e-03,3.408849e-03,3.410211e-03,2.470882e-03,2.449371e-03,2.445432e-03,3.023504e-03,4.194599e-03,3.836069e-03
Taiwan,7.896461e-03,7.861488e-03,8.073453e-03,7.685707e-03,7.948938e-03,7.948657e-03,7.846199e-03,7.820516e-03,7.801898e-03,1.190007e-02,7.936479e-03,1.169323e-02,8.009294e-03,7.975949e-03,8.139296e-03,7.753148e-03,7.976662e-03,7.975910e-03,7.858851e-03,7.832484e-03,7.813026e-03,1.191162e-02,8.050972e-03,1.173328e-02
Rest of East Asia,2.530049e-04,2.292651e-04,1.277110e-04,1.816624e-04,6.518216e-05,6.325100e-05,8.551435e-05,2.242772e-05,5.014197e-05,9.066706e-05,1.539429e-04,6.510954e-05,1.066220e-04,1.226846e-04,5.447600e-05,8.208180e-05,3.540441e-05,3.147515e-05,7.190872e-05,1.180857e-05,3.506837e-05,6.364836e-05,6.272077e-05,3.584208e-05
Thailand,4.355824e-02,4.242880e-02,4.341871e-02,4.146585e-02,4.192796e-02,4.192810e-02,4.361630e-02,4.155415e-02,3.966609e-02,3.967260e-02,4.665976e-02,4.295238e-02,4.356012e-02,4.243542e-02,4.342027e-02,4.146738e-02,4.192969e-02,4.192955e-02,4.361734e-02,4.155530e-02,3.966966e-02,3.967388e-02,4.666278e-02,4.295490e-02
Indonesia,1.526640e-01,1.511269e-01,1.431193e-01,1.407620e-01,1.351322e-01,1.351329e-01,1.558433e-01,1.412376e-01,1.281303e-01,1.283810e-01,1.740010e-01,1.447449e-01,1.527379e-01,1.512018e-01,1.431650e-01,1.408024e-01,1.351330e-01,1.351334e-01,1.558382e-01,1.412375e-01,1.281298e-01,1.283810e-01,1.740791e-01,1.447495e-01
Malaysia,3.807694e-02,3.625563e-02,3.492970e-02,3.268298e-02,3.110809e-02,3.110923e-02,3.110003e-02,2.876099e-02,2.742929e-02,2.898502e-02,3.814568e-02,3.257661e-02,3.818512e-02,3.636018e-02,3.500088e-02,3.274502e-02,3.111704e-02,3.111814e-02,3.110883e-02,2.876916e-02,2.743655e-02,2.899237e-02,3.825620e-02,3.258665e-02
Rest of South East Asia,8.875250e-02,8.709407e-02,7.022129e-02,6.848144e-02,5.323709e-02,5.323666e-02,5.168811e-02,4.905740e-02,4.740739e-02,5.048105e-02,8.861931e-02,5.607633e-02,8.080158e-02,7.932843e-02,6.390765e-02,6.236947e-02,4.851074e-02,4.850995e-02,4.612950e-02,4.422582e-02,4.322599e-02,4.627513e-02,8.069005e-02,5.133463e-02
India,3.703346e-01,3.686001e-01,3.517830e-01,3.475157e-01,3.360956e-01,3.360991e-01,5.503752e-01,4.378387e-01,3.264471e-01,3.313755e-01,5.929864e-01,4.517558e-01,3.705159e-01,3.687717e-01,3.519129e-01,3.476300e-01,3.361123e-01,3.361157e-01,5.503872e-01,4.378520e-01,3.264607e-01,3.313888e-01,5.931584e-01,4.517710e-01
Rest of South Asia,1.006300e-01,9.818200e-02,8.282372e-02,8.074931e-02,6.497404e-02,6.497347e-02,7.637782e-02,6.777150e-02,6.000723e-02,6.285286e-02,1.084812e-01,7.305700e-02,1.033059e-01,1.008270e-01,8.462067e-02,8.255147e-02,6.591158e-02,6.591008e-02,7.806821e-02,6.903947e-02,6.086013e-02,6.367673e-02,1.117242e-01,7.436104e-02
Australia,4.779776e-02,4.655916e-02,4.785409e-02,4.578580e-02,4.647263e-02,4.647535e-02,5.582541e-02,5.025435e-02,4.475517e-02,4.642543e-02,5.868872e-02,5.343969e-02,4.785601e-02,4.661853e-02,4.786956e-02,4.582232e-02,4.648547e-02,4.648817e-02,5.583746e-02,5.026603e-02,4.476601e-02,4.643720e-02,5.874963e-02,5.345453e-02
Rest of Oceania,6.004673e-03,5.877154e-03,5.948027e-03,5.629484e-03,5.755564e-03,5.756573e-03,5.300228e-03,5.297965e-03,5.298346e-03,5.940770e-03,6.003741e-03,6.376072e-03,3.042177e-03,3.066822e-03,3.014374e-03,2.948064e-03,2.932359e-03,2.933220e-03,2.868185e-03,2.862704e-03,2.859795e-03,3.202477e-03,3.050189e-03,3.264004e-03
Russia,4.084973e-04,7.389842e-05,2.541686e-04,2.653281e-04,2.646671e-04,1.844711e-04,1.134132e-03,6.654845e-05,3.130443e-04,6.145315e-04,4.868731e-04,5.220634e-04,5.159825e-04,5.286513e-04,2.702412e-04,2.907807e-04,3.135236e-04,1.951889e-04,1.126978e-03,7.350739e-05,3.161091e-04,5.988873e-04,5.222468e-04,5.326303e-04
Rest of FSU,6.678054e-03,6.308610e-03,5.631851e-03,5.285482e-03,4.799109e-03,4.800502e-03,2.445447e-02,1.390293e-02,4.263076e-03,4.546752e-03,2.543894e-02,1.434283e-02,1.258139e-02,1.219520e-02,1.018925e-02,9.918036e-03,8.096897e-03,8.097480e-03,2.280104e-02,1.459613e-02,7.453849e-03,7.646591e-03,2.595538e-02,1.492907e-02
Iran,1.179924e-06,1.055366e-06,9.911430e-07,1.612916e-06,9.965434e-07,1.393389e-06,4.841586e-06,8.806605e-07,1.289628e-06,2.822230e-06,1.207626e-06,2.393276e-06,1.205237e-06,2.627306e-06,9.929651e-07,1.639207e-06,1.063720e-06,1.395296e-06,4.982115e-06,8.829109e-07,1.340446e-06,2.957406e-06,1.211164e-06,2.326251e-06
UAE,3.244721e-02,2.967811e-02,2.901122e-02,2.632494e-02,2.492834e-02,2.492973e-02,2.089785e-02,1.941427e-02,1.946117e-02,2.221801e-02,3.232508e-02,2.752460e-02,3.265463e-02,2.987157e-02,2.916328e-02,2.646021e-02,2.494573e-02,2.494703e-02,2.091602e-02,1.943140e-02,1.947716e-02,2.223380e-02,3.253857e-02,2.754293e-02
Middle East,2.873784e-01,2.767856e-01,2.686378e-01,2.571070e-01,2.478365e-01,2.478399e-01,3.340864e-01,2.741653e-01,2.281368e-01,2.430286e-01,3.715336e-01,2.955577e-01,2.314186e-01,2.224217e-01,2.216856e-01,2.107956e-01,2.093391e-01,2.093426e-01,2.640461e-01,2.228367e-01,1.926268e-01,2.084078e-01,2.861790e-01,2.430161e-01
Rest of OPEC,1.489518e-01,1.462997e-01,1.428718e-01,1.403229e-01,1.361122e-01,1.361163e-01,1.360581e-01,1.322817e-01,1.315457e-01,1.395747e-01,1.500791e-01,1.436672e-01,1.269480e-01,1.247869e-01,1.221923e-01,1.200710e-01,1.168725e-01,1.168764e-01,1.173010e-01,1.141447e-01,1.131848e-01,1.198999e-01,1.284562e-01,1.231399e-01
Nigeria,1.799834e-02,1.728451e-02,1.364351e-02,1.307737e-02,9.764472e-03,9.763870e-03,8.478149e-03,8.236554e-03,8.076576e-03,8.781067e-03,1.818566e-02,1.057927e-02,1.803516e-02,1.732658e-02,1.367549e-02,1.310658e-02,9.778630e-03,9.777617e-03,8.491261e-03,8.248880e-03,8.087438e-03,8.793511e-03,1.822755e-02,1.059616e-02
South Africa,3.795566e-02,3.739616e-02,3.512902e-02,3.448551e-02,3.223668e-02,3.223946e-02,7.422009e-02,5.226178e-02,3.135839e-02,3.306020e-02,7.949333e-02,5.432029e-02,3.797963e-02,3.742428e-02,3.514833e-02,3.450169e-02,3.223871e-02,3.224133e-02,7.424120e-02,5.227649e-02,3.135977e-02,3.305939e-02,7.957788e-02,5.435196e-02
Rest of Africa,2.307722e-02,2.276309e-02,2.099204e-02,2.088136e-02,1.958141e-02,1.958222e-02,1.910767e-02,1.886646e-02,1.885192e-02,1.977857e-02,2.302856e-02,2.044771e-02,2.251149e-02,2.222240e-02,2.063948e-02,2.051535e-02,1.936401e-02,1.936460e-02,1.897228e-02,1.871048e-02,1.867925e-02,1.957968e-02,2.246450e-02,2.020400e-02
Italy,6.059393e-02,5.854914e-02,5.588282e-02,5.316958e-02,5.117533e-02,5.117605e-02,5.784865e-02,5.158933e-02,4.535880e-02,4.590193e-02,7.286305e-02,5.766919e-02,6.061821e-02,5.856511e-02,5.592847e-02,5.319861e-02,5.120166e-02,5.120230e-02,5.787986e-02,5.161625e-02,4.538091e-02,4.588382e-02,7.289843e-02,5.769600e-02
France,4.263309e-02,4.049130e-02,4.265028e-02,3.917357e-02,4.052409e-02,4.052503e-02,4.473845e-02,4.059528e-02,3.646586e-02,3.668579e-02,5.088033e-02,4.479195e-02,4.264146e-02,4.050105e-02,4.266048e-02,3.918282e-02,4.053572e-02,4.053662e-02,4.475705e-02,4.060993e-02,3.647584e-02,3.668565e-02,5.089496e-02,4.480851e-02
Germany,2.832343e-02,2.697143e-02,2.900994e-02,2.564655e-02,2.744619e-02,2.744630e-02,4.067312e-02,3.215560e-02,2.418554e-02,2.679347e-02,4.485512e-02,3.720879e-02,2.830984e-02,2.695802e-02,2.901182e-02,2.564602e-02,2.746212e-02,2.746217e-02,4.072997e-02,3.219120e-02,2.419852e-02,2.674147e-02,4.488208e-02,3.724500e-02
Spain,6.007810e-02,5.841191e-02,5.603154e-02,5.403382e-02,5.157625e-02,5.157787e-02,6.279676e-02,5.550678e-02,4.822620e-02,4.829660e-02,7.449848e-02,5.881940e-02,6.009550e-02,5.842215e-02,5.606312e-02,5.405082e-02,5.158537e-02,5.158694e-02,6.281343e-02,5.551875e-02,4.823298e-02,4.829579e-02,7.452862e-02,5.883000e-02
UK,8.484866e-02,8.013052e-02,8.051660e-02,7.407280e-02,7.364523e-02,7.364625e-02,8.151229e-02,7.206493e-02,6.374283e-02,6.497351e-02,1.018087e-01,8.283158e-02,8.488852e-02,8.016471e-02,8.056839e-02,7.411348e-02,7.367636e-02,7.367736e-02,8.154570e-02,7.209693e-02,6.377302e-02,6.500032e-02,1.018529e-01,8.286341e-02
Scandinavia,1.773946e-02,1.784664e-02,1.781930e-02,1.782686e-02,1.783244e-02,1.783319e-02,2.698371e-02,2.233526e-02,1.791559e-02,2.334657e-02,2.681343e-02,2.720449e-02,1.876069e-02,1.874208e-02,1.901746e-02,1.875340e-02,1.891520e-02,1.891595e-02,2.798332e-02,2.332093e-02,1.888507e-02,2.424396e-02,2.783316e-02,2.825677e-02
Rest of EU,1.151368e-01,1.098914e-01,1.156461e-01,1.060766e-01,1.104175e-01,1.104197e-01,1.638042e-01,1.312295e-01,9.959633e-02,1.045418e-01,1.768365e-01,1.447213e-01,1.055122e-01,1.009491e-01,1.057729e-01,9.769995e-02,1.012816e-01,1.012838e-01,1.485893e-01,1.198856e-01,9.204433e-02,9.645012e-02,1.597391e-01,1.313981e-01
Rest of Europe,5.877105e-03,5.334630e-03,5.930298e-03,5.073007e-03,5.249940e-03,5.250553e-03,7.053188e-03,5.724390e-03,4.426648e-03,4.569045e-03,8.407660e-03,6.535391e-03,3.348932e-03,3.072154e-03,3.371861e-03,2.933980e-03,3.055625e-03,3.056185e-03,3.808136e-03,3.211127e-03,2.635061e-03,2.782477e-03,4.450586e-03,3.642695e-03
USA,7.380107e-01,7.279802e-01,7.300000e-01,7.194652e-01,7.170289e-01,7.170347e-01,9.300000e-01,8.200000e-01,7.100000e-01,7.100000e-01,9.500000e-01,8.254827e-01,7.378910e-01,7.278733e-01,7.300000e-01,7.193933e-01,7.169807e-01,7.169866e-01,9.300000e-01,8.200000e-01,7.100000e-01,7.100000e-01,9.500000e-01,8.254386e-01
Canada,1.230642e-01,1.210306e-01,1.212328e-01,1.175039e-01,1.191444e-01,1.191467e-01,1.347348e-01,1.235040e-01,1.129259e-01,1.196957e-01,1.424125e-01,1.347902e-01,1.230852e-01,1.210562e-01,1.212338e-01,1.175147e-01,1.191457e-01,1.191479e-01,1.347355e-01,1.235048e-01,1.129267e-01,1.196971e-01,1.424337e-01,1.347913e-01
Mexico,2.056330e-01,2.046574e-01,2.000784e-01,1.983165e-01,1.949361e-01,1.949384e-01,2.090386e-01,1.998320e-01,1.906425e-01,1.935982e-01,2.239534e-01,2.068205e-01,2.056032e-01,2.046347e-01,2.000630e-01,1.983015e-01,1.949369e-01,1.949390e-01,2.090376e-01,1.998316e-01,1.906428e-01,1.935951e-01,2.239190e-01,2.068136e-01
Rest of Central America,4.657199e-02,4.446030e-02,4.144397e-02,3.939626e-02,3.597615e-02,3.597631e-02,5.120502e-02,4.103848e-02,3.200387e-02,3.391688e-02,5.905449e-02,4.415217e-02,5.058523e-02,4.832040e-02,4.470792e-02,4.256033e-02,3.849448e-02,3.849442e-02,5.573235e-02,4.438412e-02,3.422437e-02,3.605485e-02,6.470000e-02,4.754805e-02
Brazil,1.925586e-01,1.861158e-01,1.924074e-01,1.839375e-01,1.858298e-01,1.858358e-01,1.810232e-01,1.783591e-01,1.764139e-01,1.832518e-01,1.964223e-01,1.939065e-01,1.925763e-01,1.861313e-01,1.923965e-01,1.839370e-01,1.858069e-01,1.858127e-01,1.810003e-01,1.783371e-01,1.763928e-01,1.832291e-01,1.964379e-01,1.938809e-01
Rest of South America,1.882851e-01,1.831490e-01,1.686623e-01,1.635147e-01,1.479159e-01,1.479198e-01,1.511087e-01,1.443222e-01,1.381409e-01,1.568370e-01,1.982389e-01,1.694126e-01,2.157973e-01,2.099095e-01,1.927606e-01,1.869092e-01,1.684052e-01,1.684091e-01,1.727899e-01,1.646604e-01,1.571783e-01,1.772332e-01,2.279935e-01,1.922290e-01
