PM2.5 reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
China (Mainland),6.734841e-04,1.447898e-03,6.833630e-04,1.444468e-03,6.910185e-04,1.414581e-03,7.953705e-04,1.567033e-03,6.811972e-04,1.350421e-03,6.938441e-04,1.482215e-03,7.218655e-04,1.448706e-03,6.800228e-04,1.429122e-03,6.888780e-04,1.434992e-03,6.973405e-04,1.402631e-03,7.994951e-04,1.546022e-03,6.875191e-04,1.338703e-03,7.108944e-04,1.464109e-03,7.290865e-04,1.437474e-03
South Korea,2.092419e-01,2.290455e-01,1.921001e-01,2.046624e-01,1.863339e-01,1.971327e-01,2.199766e-01,2.413705e-01,2.269908e-01,2.444362e-01,1.264522e-01,1.378517e-01,1.228121e-01,1.293797e-01,3.433344e-01,3.629027e-01,3.122361e-01,3.291304e-01,2.995366e-01,3.102713e-01,3.495602e-01,3.703878e-01,3.662304e-01,3.835096e-01,2.116594e-01,2.243647e-01,1.995204e-01,2.066832e-01
Japan,3.107635e+00,3.114376e+00,3.108373e+00,3.114978e+00,3.109096e+00,3.115262e+00,2.885262e+00,2.891948e+00,2.924047e+00,2.930011e+00,3.086181e+00,3.093071e+00,3.087716e+00,3.093953e+00,3.108998e+00,3.115553e+00,3.109332e+00,3.115824e+00,3.109662e+00,3.115695e+00,2.886517e+00,2.893023e+00,2.925382e+00,2.931217e+00,3.087477e+00,3.094107e+00,3.088145e+00,3.094245e+00
Singapore,7.746354e+00,7.832153e+00,7.619403e+00,7.700000e+00,7.500000e+00,7.600000e+00,5.845022e+00,5.931612e+00,7.563746e+00,7.644047e+00,7.063305e+00,7.147596e+00,6.853863e+00,6.934612e+00,7.757066e+00,7.841484e+00,7.628241e+00,7.700000e+00,7.500000e+00,7.600000e+00,5.854427e+00,5.939626e+00,7.573982e+00,7.653429e+00,7.073281e+00,7.156051e+00,6.859094e+00,6.939050e+00
Hong Kong,1.346001e+00,1.431140e+00,1.298308e+00,1.386054e+00,1.254326e+00,1.338161e+00,7.978947e-01,8.848804e-01,1.339755e+00,1.417920e+00,1.309916e+00,1.394229e+00,1.218844e+00,1.301510e+00,1.347908e+00,1.431893e+00,1.299991e+00,1.387115e+00,1.255833e+00,1.339092e+00,7.994128e-01,8.853162e-01,1.341566e+00,1.419142e+00,1.312189e+00,1.394994e+00,1.220403e+00,1.302383e+00
Taiwan,7.072029e-01,7.205156e-01,7.087695e-01,7.216469e-01,7.102770e-01,7.213047e-01,6.445165e-01,6.582775e-01,7.037326e-01,7.141395e-01,6.419382e-01,6.556834e-01,6.453732e-01,6.564829e-01,7.102275e-01,7.229077e-01,7.106864e-01,7.231934e-01,7.111319e-01,7.217521e-01,6.473753e-01,6.609613e-01,7.067136e-01,7.167230e-01,6.449432e-01,6.577155e-01,6.458754e-01,6.565669e-01
Rest of East Asia,1.271576e+00,2.257215e+00,1.196268e+00,2.159847e+00,1.133534e+00,2.138812e+00,1.297204e+00,2.277244e+00,1.244174e+00,2.121252e+00,1.266291e+00,2.264145e+00,1.138697e+00,2.146365e+00,1.141909e+00,2.116697e+00,1.111925e+00,2.117830e+00,1.095432e+00,2.103119e+00,1.166620e+00,2.138006e+00,1.132765e+00,2.007449e+00,1.144870e+00,2.118612e+00,1.099358e+00,2.106303e+00
Thailand,2.696938e+00,2.711310e+00,2.708769e+00,2.723307e+00,2.720550e+00,2.733655e+00,2.350837e+00,2.377542e+00,2.560609e+00,2.568934e+00,2.672596e+00,2.687409e+00,2.696429e+00,2.709769e+00,2.699294e+00,2.712985e+00,2.710983e+00,2.725125e+00,2.722665e+00,2.735321e+00,2.354547e+00,2.381468e+00,2.562930e+00,2.570888e+00,2.674775e+00,2.688703e+00,2.698163e+00,2.711050e+00
Indonesia,8.113859e+00,8.150642e+00,7.700000e+00,7.700000e+00,7.450090e+00,7.476462e+00,7.576818e+00,7.612543e+00,7.428907e+00,7.454060e+00,8.095827e+00,8.135066e+00,7.400000e+00,7.457823e+00,8.116044e+00,8.150188e+00,7.700000e+00,7.700000e+00,7.450866e+00,7.475838e+00,7.578652e+00,7.611830e+00,7.431062e+00,7.454737e+00,8.099391e+00,8.100000e+00,7.400000e+00,7.456771e+00
Malaysia,4.320917e+00,4.342036e+00,3.947427e+00,3.963896e+00,3.785986e+00,3.802056e+00,3.638418e+00,3.659392e+00,4.195712e+00,4.214011e+00,4.071027e+00,4.092126e+00,3.529123e+00,3.545153e+00,4.325798e+00,4.346209e+00,3.949815e+00,3.965876e+00,3.790060e+00,3.805419e+00,3.642607e+00,3.662901e+00,4.200536e+00,4.218357e+00,4.075884e+00,4.096064e+00,3.532973e+00,3.548312e+00
Rest of South East Asia,4.890849e+00,4.935623e+00,3.993055e+00,4.038161e+00,3.289109e+00,3.326630e+00,4.599463e+00,4.644926e+00,4.698777e+00,4.735117e+00,4.797217e+00,4.842312e+00,3.185054e+00,3.222693e+00,4.504013e+00,4.549105e+00,3.668589e+00,3.713438e+00,3.014771e+00,3.052005e+00,4.232416e+00,4.277367e+00,4.389134e+00,4.425232e+00,4.418165e+00,4.463357e+00,2.919179e+00,2.956506e+00
India,5.722293e+00,5.797489e+00,5.309400e+00,5.383666e+00,4.954926e+00,5.024969e+00,5.633871e+00,5.708797e+00,3.820334e+00,3.890927e+00,5.670097e+00,5.745448e+00,4.902509e+00,4.972685e+00,5.722993e+00,5.797075e+00,5.309975e+00,5.383542e+00,4.955153e+00,5.024427e+00,5.634465e+00,5.708318e+00,3.821015e+00,3.890877e+00,5.670845e+00,5.745012e+00,4.902730e+00,4.972124e+00
Rest of South Asia,8.400000e+00,8.469261e+00,6.056747e+00,6.084222e+00,3.924988e+00,3.938485e+00,8.171894e+00,8.199099e+00,8.300000e+00,8.369619e+00,8.300000e+00,8.300000e+00,3.770384e+00,3.784006e+00,7.804323e+00,7.830877e+00,5.650955e+00,5.678098e+00,3.739173e+00,3.752208e+00,7.547933e+00,7.574602e+00,7.700000e+00,7.700000e+00,7.677425e+00,7.704138e+00,3.592494e+00,3.605698e+00
Australia,4.059566e+00,4.093664e+00,4.058442e+00,4.090786e+00,4.057434e+00,4.088525e+00,3.756958e+00,3.790951e+00,3.934309e+00,3.966422e+00,3.886541e+00,3.920599e+00,3.884168e+00,3.915224e+00,4.068255e+00,4.101901e+00,4.064643e+00,4.096716e+00,4.063178e+00,4.093966e+00,3.764532e+00,3.798089e+00,3.942970e+00,3.974782e+00,3.894246e+00,3.927858e+00,3.888944e+00,3.919694e+00
Rest of Oceania,5.937077e+00,6.056806e+00,5.275895e+00,5.394166e+00,4.918516e+00,5.004671e+00,5.308606e+00,5.428104e+00,5.855927e+00,5.944514e+00,5.668464e+00,5.786484e+00,4.633305e+00,4.718120e+00,2.285959e+00,2.361509e+00,2.298330e+00,2.370912e+00,2.310706e+00,2.378727e+00,2.023078e+00,2.125458e+00,2.288069e+00,2.356315e+00,2.150235e+00,2.226611e+00,2.175019e+00,2.242240e+00
Russia,6.900755e-02,2.542646e-01,6.942497e-02,2.542430e-01,6.997099e-02,2.471672e-01,7.091558e-02,2.562784e-01,6.916414e-02,2.424906e-01,6.832340e-02,2.539995e-01,6.948048e-02,2.467747e-01,6.927425e-02,2.530801e-01,6.970335e-02,2.540119e-01,7.050355e-02,2.478356e-01,7.113074e-02,2.550480e-01,6.942227e-02,2.427291e-01,6.896281e-02,2.528625e-01,7.008728e-02,2.475282e-01
Rest of FSU,1.211889e+00,1.243196e+00,9.565148e-01,9.873861e-01,8.271057e-01,8.462187e-01,1.133504e+00,1.164596e+00,1.062412e+00,1.090481e+00,1.206886e+00,1.238653e+00,8.228950e-01,8.421097e-01,1.165170e+00,1.190722e+00,8.575617e-01,8.831369e-01,6.527271e-01,6.669758e-01,1.097837e+00,1.123233e+00,1.059231e+00,1.082156e+00,1.147894e+00,1.173588e+00,6.334089e-01,6.477539e-01
Iran,2.957216e-02,7.910909e-02,3.596331e-02,8.736067e-02,4.366157e-02,9.037938e-02,3.503568e-02,8.704882e-02,3.112122e-02,7.217917e-02,2.993238e-02,8.138523e-02,4.509139e-02,9.292667e-02,3.140994e-02,8.017184e-02,3.802148e-02,8.879269e-02,4.535041e-02,9.127662e-02,3.728432e-02,8.796104e-02,3.311126e-02,7.385204e-02,3.256970e-02,8.242829e-02,4.679260e-02,9.381344e-02
UAE,6.612762e+00,6.648589e+00,6.208675e+00,6.235755e+00,6.166971e+00,6.189369e+00,5.909792e+00,5.945224e+00,6.644619e+00,6.676155e+00,5.554383e+00,5.591085e+00,5.022302e+00,5.044834e+00,6.630730e+00,6.665585e+00,6.219336e+00,6.246070e+00,6.173811e+00,6.195859e+00,5.926592e+00,5.961093e+00,6.661878e+00,6.692799e+00,5.571872e+00,5.607017e+00,5.028363e+00,5.050547e+00
Middle East,4.242654e+00,4.253738e+00,3.968906e+00,3.977273e+00,3.921936e+00,3.929226e+00,3.984925e+00,3.995953e+00,3.804041e+00,3.814292e+00,3.976401e+00,3.987219e+00,3.623113e+00,3.630123e+00,2.962663e+00,2.971025e+00,2.928376e+00,2.936665e+00,2.926973e+00,2.934170e+00,2.719668e+00,2.727984e+00,2.648967e+00,2.656696e+00,2.707936e+00,2.716007e+00,2.669345e+00,2.676299e+00
Rest of OPEC,6.088111e+00,6.126041e+00,5.703765e+00,5.741122e+00,5.424692e+00,5.453568e+00,5.887874e+00,5.925587e+00,5.930792e+00,5.965759e+00,5.847202e+00,5.884727e+00,5.174760e+00,5.203134e+00,5.741332e+00,5.775179e+00,5.361610e+00,5.395170e+00,5.077964e+00,5.103168e+00,5.552175e+00,5.585834e+00,5.537007e+00,5.568204e+00,5.528368e+00,5.561705e+00,4.856760e+00,4.881476e+00
Nigeria,4.469683e+00,4.565931e+00,3.236007e+00,3.330284e+00,2.222823e+00,2.293638e+00,4.147430e+00,4.242340e+00,4.391113e+00,4.468745e+00,4.088792e+00,4.187361e+00,1.821879e+00,1.893088e+00,4.470246e+00,4.562441e+00,3.236471e+00,3.328289e+00,2.223189e+00,2.291823e+00,4.147817e+00,4.238826e+00,4.391645e+00,4.466858e+00,4.091062e+00,4.183884e+00,1.822254e+00,1.891270e+00
South Africa,5.263066e+00,5.433137e+00,4.829121e+00,4.996284e+00,4.540961e+00,4.688794e+00,5.157508e+00,5.328778e+00,3.596526e+00,3.750854e+00,5.180255e+00,5.351520e+00,4.458763e+00,4.606814e+00,5.268468e+00,5.434843e+00,4.833785e+00,4.998702e+00,4.543530e+00,4.689007e+00,5.162197e+00,5.329858e+00,3.601525e+00,3.753565e+00,5.186395e+00,5.352983e+00,4.461229e+00,4.606914e+00
Rest of Africa,1.769207e+00,1.797729e+00,1.550256e+00,1.579994e+00,1.444031e+00,1.470213e+00,1.681719e+00,1.711953e+00,1.706819e+00,1.727095e+00,1.708264e+00,1.738285e+00,1.376215e+00,1.402691e+00,1.556792e+00,1.584638e+00,1.366725e+00,1.395621e+00,1.284633e+00,1.310073e+00,1.478534e+00,1.506182e+00,1.525521e+00,1.545185e+00,1.502490e+00,1.530539e+00,1.223808e+00,1.249449e+00
Italy,5.289732e+00,5.304196e+00,4.437448e+00,4.451712e+00,3.739190e+00,3.749191e+00,4.824268e+00,4.838666e+00,5.108901e+00,5.122244e+00,5.181302e+00,5.195762e+00,3.633893e+00,3.643861e+00,5.295927e+00,5.310124e+00,4.443034e+00,4.457136e+00,3.742276e+00,3.752122e+00,4.829240e+00,4.843381e+00,5.114931e+00,5.128094e+00,5.187925e+00,5.202074e+00,3.637159e+00,3.646973e+00
France,4.290989e+00,4.306029e+00,3.837418e+00,3.852273e+00,3.619541e+00,3.627951e+00,3.927453e+00,3.942805e+00,4.063304e+00,4.077304e+00,3.996093e+00,4.011044e+00,3.333866e+00,3.342178e+00,4.299538e+00,4.314418e+00,3.845489e+00,3.860281e+00,3.623973e+00,3.632319e+00,3.934590e+00,3.949743e+00,4.071659e+00,4.085580e+00,4.004680e+00,4.019479e+00,3.338219e+00,3.346492e+00
Germany,1.494041e+00,1.496586e+00,1.482078e+00,1.484116e+00,1.482177e+00,1.484027e+00,1.267403e+00,1.269921e+00,1.339144e+00,1.341280e+00,1.449260e+00,1.451834e+00,1.441592e+00,1.443436e+00,1.498313e+00,1.500759e+00,1.486090e+00,1.488073e+00,1.486176e+00,1.487963e+00,1.270817e+00,1.273238e+00,1.343287e+00,1.345354e+00,1.453789e+00,1.456225e+00,1.445777e+00,1.447557e+00
Spain,7.386315e+00,7.425553e+00,6.454821e+00,6.496078e+00,5.733967e+00,5.768882e+00,6.731390e+00,6.770806e+00,6.934320e+00,6.970457e+00,7.269938e+00,7.309255e+00,5.618858e+00,5.653740e+00,7.390009e+00,7.429192e+00,6.458595e+00,6.500107e+00,5.736339e+00,5.771459e+00,6.734182e+00,6.773574e+00,6.937885e+00,6.973857e+00,7.273890e+00,7.313030e+00,5.621273e+00,5.656359e+00
UK,5.833707e+00,5.842921e+00,5.493492e+00,5.502591e+00,5.352182e+00,5.358875e+00,4.853064e+00,4.862616e+00,5.658987e+00,5.667538e+00,5.813070e+00,5.822398e+00,5.334928e+00,5.341713e+00,5.838900e+00,5.847970e+00,5.498509e+00,5.507559e+00,5.355862e+00,5.362521e+00,4.857375e+00,4.866799e+00,5.664120e+00,5.672571e+00,5.818483e+00,5.827650e+00,5.338713e+00,5.345463e+00
Scandinavia,3.171793e+00,3.197999e+00,3.163723e+00,3.189556e+00,3.176726e+00,3.196687e+00,3.051713e+00,3.077914e+00,3.039404e+00,3.063544e+00,2.663167e+00,2.684082e+00,2.694032e+00,2.708813e+00,3.252594e+00,3.278325e+00,3.246613e+00,3.272156e+00,3.262211e+00,3.281938e+00,3.119669e+00,3.145237e+00,3.117758e+00,3.141579e+00,2.736712e+00,2.757152e+00,2.770121e+00,2.784721e+00
Rest of EU,3.915400e+00,3.927718e+00,3.758909e+00,3.769071e+00,3.722043e+00,3.730939e+00,3.536328e+00,3.548635e+00,3.466497e+00,3.478143e+00,3.859435e+00,3.871638e+00,3.676142e+00,3.684941e+00,3.766645e+00,3.778814e+00,3.548224e+00,3.558302e+00,3.496411e+00,3.505210e+00,3.406766e+00,3.418925e+00,3.344961e+00,3.356505e+00,3.725429e+00,3.737492e+00,3.463907e+00,3.472610e+00
Rest of Europe,4.352054e+00,4.416830e+00,4.362162e+00,4.423344e+00,4.372171e+00,4.428689e+00,3.790009e+00,3.854672e+00,3.137757e+00,3.194953e+00,4.233848e+00,4.297015e+00,4.254211e+00,4.310569e+00,2.448779e+00,2.512136e+00,2.445353e+00,2.507539e+00,2.456188e+00,2.511850e+00,2.164909e+00,2.231196e+00,1.727857e+00,1.784188e+00,2.395750e+00,2.458974e+00,2.403981e+00,2.459480e+00
USA,4.450580e+00,4.454944e+00,4.430852e+00,4.434750e+00,4.429265e+00,4.432987e+00,4.370880e+00,4.375246e+00,3.722323e+00,3.726443e+00,4.454742e+00,4.459100e+00,4.433512e+00,4.437231e+00,4.451064e+00,4.455375e+00,4.431566e+00,4.435432e+00,4.429960e+00,4.433645e+00,4.371139e+00,4.375452e+00,3.722785e+00,3.726869e+00,4.455457e+00,4.459763e+00,4.434417e+00,4.438100e+00
Canada,5.652451e+00,5.661271e+00,5.395444e+00,5.404060e+00,5.262096e+00,5.267522e+00,5.394551e+00,5.403959e+00,5.101158e+00,5.108913e+00,5.400035e+00,5.408910e+00,5.057895e+00,5.063296e+00,5.652518e+00,5.661077e+00,5.395584e+00,5.404043e+00,5.262234e+00,5.267516e+00,5.394557e+00,5.403684e+00,5.101217e+00,5.108793e+00,5.400204e+00,5.408734e+00,5.058027e+00,5.063287e+00
Mexico,4.340978e+00,4.355545e+00,3.856213e+00,3.870569e+00,3.421050e+00,3.431350e+00,4.191330e+00,4.205847e+00,4.124237e+00,4.137445e+00,4.216939e+00,4.231693e+00,3.301689e+00,3.312092e+00,4.339682e+00,4.353923e+00,3.855486e+00,3.869643e+00,3.420939e+00,3.431054e+00,4.190047e+00,4.204251e+00,4.122942e+00,4.135931e+00,4.215702e+00,4.230046e+00,3.301559e+00,3.311774e+00
Rest of Central America,5.252625e+00,5.281883e+00,4.558419e+00,4.586864e+00,4.197438e+00,4.211706e+00,4.861555e+00,4.890401e+00,4.755048e+00,4.776556e+00,4.932412e+00,4.961280e+00,3.818669e+00,3.834883e+00,5.436442e+00,5.464534e+00,4.689922e+00,4.717646e+00,4.278294e+00,4.291846e+00,5.042073e+00,5.069803e+00,4.908606e+00,4.932491e+00,5.135032e+00,5.162211e+00,3.920236e+00,3.935351e+00
Brazil,5.214961e+00,5.257799e+00,5.212478e+00,5.254885e+00,5.212719e+00,5.252803e+00,4.647120e+00,4.689898e+00,5.131652e+00,5.171980e+00,4.866537e+00,4.909353e+00,4.864328e+00,4.904383e+00,5.213021e+00,5.255299e+00,5.210991e+00,5.253061e+00,5.211641e+00,5.251370e+00,4.645171e+00,4.687404e+00,5.129721e+00,5.169670e+00,4.864637e+00,4.906885e+00,4.863270e+00,4.902962e+00
Rest of South America,7.001744e+00,7.034522e+00,6.367354e+00,6.399670e+00,5.918708e+00,5.946954e+00,6.636900e+00,6.669520e+00,6.260990e+00,6.291358e+00,6.545048e+00,6.577581e+00,5.422577e+00,5.450509e+00,8.300000e+00,8.375377e+00,7.552058e+00,7.583966e+00,6.973136e+00,7.000934e+00,7.900000e+00,7.900000e+00,7.450974e+00,7.480932e+00,7.833469e+00,7.865285e+00,6.418991e+00,6.446475e+00
